,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
115,Jarvis Cleal\Jarvis-Cleal,,MF,Plymouth Argyle,,,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Chris Clements\Chris-Clements,eng ENG,MF,Cheltenham,29,1990,22,16,1493,0,3,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
117,Harry Clifton\Harry-Clifton,wal WAL,MF,Grimsby Town,21,1998,25,22,1873,0,1,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches
118,Callum Cockerill-Mollett\Callum-Cockerill-Mollett,eng ENG,DFMF,Walsall,20,1999,9,6,507,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Josh Cogley\Josh-Cogley,eng ENG,DFMF,Crawley Town,23,1996,16,15,1289,0,2,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
120,Ryan Colclough\Ryan-Colclough,eng ENG,MF,Scunthorpe Utd,24,1994,20,8,935,0,2,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches
121,Adam Collin\Adam-Collin,eng ENG,GK,Carlisle United,34,1984,37,37,3330,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Aaron Collins\Aaron-Collins,wal WAL,FWMF,FG Rovers,22,1997,28,14,1299,5,0,0,0,3,0,0.35,0.00,0.35,0.35,0.35,Matches
123,Archie Collins\Archie-Collins,eng ENG,MF,Exeter City,,,36,33,3037,1,3,0,0,5,0,0.03,0.09,0.12,0.03,0.12,Matches
124,Lewis Collins\Lewis-Collins,wal WAL,MF,Newport County,18,2001,6,0,120,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Brandon Comley\Brandon-Comley,ms MSR,MF,Colchester Utd,23,1995,24,22,1970,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,Matches
126,Luke Conlan\Luke-Conlan,nir NIR,DFMF,Morecambe,24,1994,20,19,1656,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
127,Tom Conlon\Tom-Conlon,eng ENG,MF,Port Vale,23,1996,22,19,1630,1,3,0,0,1,1,0.06,0.17,0.22,0.06,0.22,Matches
128,Dylan Connolly\Dylan-Connolly,ie IRL,MFFW,Bradford City,24,1995,27,22,1898,1,2,0,0,4,0,0.05,0.09,0.14,0.05,0.14,Matches
129,Dion Conroy\Dion-Conroy,eng ENG,DF,Swindon Town,23,1995,11,11,906,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Craig Conway\Craig-Conway,sco SCO,MFFW,Salford City,34,1985,20,15,1380,0,6,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
131,Andy Cook\Andy-Cook,eng ENG,FW,Mansfield Town,28,1990,23,10,1124,7,1,0,0,2,0,0.56,0.08,0.64,0.56,0.64,Matches
132,Jordan Cook\Jordan-Cook,eng ENG,MFFW,Grimsby Town,29,1990,14,10,758,2,0,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches
133,Callum Cooke\Callum-Cooke,eng ENG,MF,Bradford City,22,1997,25,18,1673,0,1,0,0,6,1,0.00,0.05,0.05,0.00,0.05,Matches
134,Ryan Cooney\Ryan-Cooney,eng ENG,DF,Morecambe,19,2000,11,11,952,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
135,George Cooper\George-Cooper,eng ENG,MFDF,Plymouth Argyle,22,1996,27,21,1794,3,12,0,0,4,0,0.15,0.60,0.75,0.15,0.75,Matches
136,David Cornell\David-Cornell,wal WAL,GK,Northampton,28,1991,34,33,2995,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Josh Coulson\Josh-Coulson,eng ENG,DF,Leyton Orient,30,1989,28,26,2313,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
138,Vaughn Covil\Vaughn-Covil,eng ENG,FW,FG Rovers,16,2003,2,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Paris Cowan-Hall\Paris-Cowan-Hall,eng ENG,MF,Colchester Utd,28,1990,5,2,160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Jason Cowley\Jason-Cowley,eng ENG,FW,Stevenage,,,18,11,953,2,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
141,Jordan Cranston\Jordan-Cranston,wal WAL,DFMF,Morecambe,25,1993,24,12,1180,0,3,0,0,1,1,0.00,0.23,0.23,0.00,0.23,Matches
142,Adam Crookes\Adam-Crookes,eng ENG,DF,Port Vale,21,1997,14,14,1260,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Mark Cullen\Mark-Cullen,eng ENG,FW,Port Vale,27,1992,18,7,784,5,1,0,0,0,0,0.57,0.11,0.69,0.57,0.69,Matches
144,Taylor Curran\Taylor-Curran,eng ENG,DF,Swindon Town,19,2000,2,0,,0,0,0,0,0,0,,,,,,Matches
145,Scott Cuthbert\Scott-Cuthbert,sco SCO,DF,Stevenage,32,1987,21,21,1711,2,0,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
146,Diaguely Dabo\Diaguely-Dabo,,MF,Stevenage,,,8,8,654,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Owen Dale\Owen-Dale,eng ENG,FW,Crewe Alexandra,20,1998,27,7,912,0,1,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
148,Andy Dales\Andy-Dales,eng ENG,FW,Scunthorpe Utd,,,3,0,49,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Andrew Dallas\Andrew-Dallas,sco SCO,FW,Cambridge Utd,20,1999,22,2,381,2,0,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
